
Rank	First Name	Last Name	Team	rect	shoes	split	Day 1	line	vision	walk	Day2	Global
121	Benjamin	Bajd	SVN	38	65	40	143	54.6	66	24	144.6	287.6
122	Benson Zhan Li	Lin	SGP	50	65	18	133	78.19	66	10	154.19	287.19
123	Dorijan	Lendvaj	HRV	59	45	18	122	74.05	81	10	165.05	287.05
124	Michal	Jireš	CZE	0	100	18	118	68.08	100	0	168.08	286.08
125	Jia Jun	Lee	MYS	37	100	40	177	53.89	55	0	108.89	285.89
126	Moses	Mayer	IDN	27	100	40	167	52.19	55	10	117.19	284.19
127	Héctor Fernando	Ricárdez Lara	MEX	72	65	18	155	52.15	66	10	128.15	283.15
128	Pavel	Kliska	HRV	23	85	40	148	57.33	66	10	133.33	281.33
129	Mladen	Puzić	SRB	25	100	29	154	36.94	66	24	126.94	280.94
130	Santeri	Toivonen	FIN	25	100	18	143	75.77	52	10	137.77	280.77
131	Nándor	Nagy	HUN	38	100	40	178	36.47	66	0	102.47	280.47
132	Lok Kan	Yuen	HKG	25	100	40	165	39.16	66	10	115.16	280.16
133	Erik	Sünderhauf	DEU	37	65	40	142	47.88	66	24	137.88	279.88
134	Maxym	Zub	UKR	72	25	40	137	52.62	66	24	142.62	279.62
135	Arman	Ferdous	BGD	38	85	40	163	62.33	52	0	114.33	277.33
136	Shabdan	Batyrkulov	KGZ	50	100	18	168	33.32	52	24	109.32	277.32
137	Nicolas	Camenisch	CHE	0	45	100	145	30.54	100	0	130.54	275.54
138	Lennart	Ferlemann	DEU	38	65	40	143	53.58	52	24	129.58	272.58
139	Zhiyuan	Qi	NZL	38	65	18	121	75.22	66	10	151.22	272.22
140	Zachary	Smith	GBR	50	45	40	135	61.15	66	10	137.15	272.15
141	Muhannad	Alwarawreh	JOR	25	100	18	143	53.08	52	24	129.08	272.08
142	Jovan	Bengin	SRB	50	100	18	168	40.38	52	10	102.38	270.38
143	Andres	Alumets	EST	50	100	18	168	39.45	52	10	101.45	269.45
144	Jakob	Schrader	SVN	50	100	18	168	25.33	52	24	101.33	269.33
145	Bakari	Gamezardashvili	GEO	10	100	40	150	51.15	66	0	117.15	267.15
146	Gustav	Kalander	SWE	18	100	40	158	38.85	58	10	106.85	264.85
147	Fares	Pasuni	SAU	50	85	40	175	37.4	52	0	89.4	264.4
148	Hugo	Eberhard	SWE	10	100	29	139	35.34	66	24	125.34	264.34
149	Talantbek	Zhenishbek uulu	KGZ	50	100	40	190	21.76	52	0	73.76	263.76
150	Tunan	Shi	AUS	23	45	40	108	79.6	66	10	155.6	263.6
151	Kiryl	Shyrma	BLR	40	100	29	169	26.36	58	10	94.36	263.36
152	Zhan	Kurbanbayev	KAZ	72	85	18	175	25.67	52	10	87.67	262.67
153	Sebastian	Sánchez Lara	MEX	50	85	40	175	32.22	55	0	87.22	262.22
154	Frederico	Bulhões de Souza Ribeiro	BRA	25	100	40	165	29.56	66	0	95.56	260.56
155	Jon-Magnus	Rosenblad	NOR	37	100	18	155	53.33	52	0	105.33	260.33
156	Carl	Westerlund	SWE	25	100	18	143	53.31	52	10	115.31	258.31
157	Olli	Järviniemi	FIN	50	100	18	168	12.33	66	10	88.33	256.33
158	Bo-Yen	Tang	TWN	50	100	18	168	24.77	52	10	86.77	254.77
159	Joël	Huber	CHE	37	100	18	155	53.89	34	10	97.89	252.89
160	Tasmeem	Reza	BGD	0	100	0	100	52.65	100	0	152.65	252.65
161	Andrej	Shekerov	MKD	25	100	7	132	58.27	52	10	120.27	252.27
162	Itay	Yehuda	ISR	37	100	40	177	12	52	10	74	251
163	Mohammad Nour	Massri	SYR	25	100	40	165	23.19	52	10	85.19	250.19
164	Jakob	Nogler	ITA	37	100	18	155	53.58	41	0	94.58	249.58
165	Martin	Dinev	MKD	0	100	40	140	42.42	66	0	108.42	248.42
166	Tamer	Emad	SYR	37	85	40	162	29.69	55	0	84.69	246.69
167	Bálint	Molnár	HUN	0	100	18	118	62.33	66	0	128.33	246.33
168	Nader	Jemel	TUN	50	100	40	190	0	52	0	52	242
169	Osama	Alkhodairy	EGY	37	100	18	155	35.75	41	10	86.75	241.75
170	Mehmet Hamza	Erol	TUR	37	45	40	122	54.44	55	10	119.44	241.44
171	Kevin	Wan	CAN	23	85	40	148	60	33	0	93	241
172	Oscar	Jocqué	BEL	37	45	40	122	63.45	52	0	115.45	237.45
173	Javier	Nistal Salas	ESP	0	100	33	133	52.08	52	0	104.08	237.08
174	Renāts	Jurševskis	LVA	37	100	40	177	0	59	0	59	236
175	Cheng U	Ian	MAC	25	100	40	165	18.5	52	0	70.5	235.5
176	Sebastian	Weiermann	BEL	37	65	18	120	49.27	55	10	114.27	234.27
177	Murad	Eynizada	AZE	38	65	18	121	35.85	66	10	111.85	232.85
178	Christian	Bertram	DNK	0	100	22	122	48.26	52	10	110.26	232.26
179	Abutalib	Namazov	AZE	72	45	18	135	46.24	41	10	97.24	232.24
180	Ralph	McDougall	ZAF	37	100	7	144	36.11	52	0	88.11	232.11
181	Willian	Wang	BRA	37	100	40	177	3	52	0	55	232
182	Tian	Cilliers	ZAF	10	65	40	115	62.92	44	10	116.92	231.92
183	Mohammed Taariq	Mowzer	ZAF	37	85	18	140	36.66	55	0	91.66	231.66
184	Iat Long	Iong	MAC	50	45	18	113	62.33	55	0	117.33	230.33
185	Andreas	Kalavas	CYP	37	100	18	155	19.91	55	0	74.91	229.91
186	Behruz	Azam	UZB	8	85	18	111	52.08	66	0	118.08	229.08
187	Shashwat	Chandra	IND	37	85	40	162	12	55	0	67	229
188	Daniel Zhenghao	Choo	SGP	31	65	40	136	30.3	52	10	92.3	228.3
189	Tanapoom	Laoaroon	THA	37	100	40	177	12	0	39	51	228
190	Lautaro	Lasorsa	ARG	10	100	40	150	25.8	52	0	77.8	227.8
191	Håvard Rognebakke	Krogstie	NOR	0	100	18	118	53.62	54	0	107.62	225.62
192	Miko	Surara	PHL	37	100	7	144	19	52	10	81	225
193	Kel Zin	Tan	MYS	18	100	18	136	12	66	10	88	224
194	Diego Emir	García Moreno	MEX	50	45	40	135	36.08	52	0	88.08	223.08
195	Tiago	Domingos	BRA	27	85	40	152	17.34	41	10	68.34	220.34
196	Maayan	Levy	NZL	0	100	0	100	53.53	66	0	119.53	219.53
197	Dimitrios	Rontogiannis	GRC	37	100	18	155	12	52	0	64	219
197	Roope	Salmi	FIN	0	100	7	107	12	100	0	112	219
199	Evangelos	Pipis	GRC	25	45	40	110	42.98	54	10	106.98	216.98
200	Blagojche	Pavleski	MKD	0	100	40	140	10	66	0	76	216
201	Andi	Qu	ZAF	25	45	18	88	62.09	55	10	127.09	215.09
202	Aziz	Huseynov	AZE2	10	100	18	128	34	52	0	86	214
203	Vladimirs	Ščigoļevs	LVA	15	65	18	98	62.92	52	0	114.92	212.92
204	Tugsgerel	Lkhagvasuren	MNG	50	25	18	93	53.58	66	0	119.58	212.58
205	Mauricio	Cari	CHL	23	65	18	106	51.03	55	0	106.03	212.03
206	Ming Yean	Lim	MYS	18	65	40	123	26.59	52	10	88.59	211.59
207	Asadullo	Ganiev	UZB	50	65	18	133	36.98	41	0	77.98	210.98
